Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (CZK),Total (CZK),ID,Currency conversion fee (CZK)
Market buy,2022-04-28 11:45:29,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2735880000,78.05,USD,0.04277,,500.00,EOF1889402836,0.75
Market buy,2022-05-10 07:22:34,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.5692700000,74.13,USD,0.04226,,1000.00,EOF1904346166,1.50
Market buy,2022-05-10 17:16:26,US91680M1071,UPST,"Upstart Holdings",0.6651890000,31.58,USD,0.04207,,500.00,EOF1906310715,0.75
Market buy,2022-05-11 09:31:49,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1119820000,74.35,USD,0.04169,,200.00,EOF1906460194,0.30
Market buy,2022-05-11 10:57:26,DE000PAH0038,PAH3,"Porsche Automobil Holding",0.1156920000,76.28,EUR,0.03928,,225.00,EOF1906462729,0.34
Market buy,2022-05-11 10:58:03,CH0038863350,NESN,"Nestle",0.0710216000,121.18,CHF,0.04104,,209.99,EOF1906462745,0.31
Market buy,2022-05-11 10:58:07,DE0007236101,SIE,"Siemens",0.0717598000,114.78,EUR,0.03928,,209.99,EOF1906462749,0.31
Market buy,2022-05-11 13:30:03,US5949181045,MSFT,"Microsoft",0.0156340000,265.90,USD,0.04163,,100.00,EOF1906470975,0.15
Market buy,2022-05-11 13:30:08,US8740391003,TSM,"Taiwan Semiconductor",0.0982200000,88.88,USD,0.04163,,209.99,EOF1906471624,0.31
Market buy,2022-05-11 13:30:09,US6092071058,MDLZ,"Mondelez",0.1326310000,65.82,USD,0.04163,,209.99,EOF1906471815,0.31
Market buy,2022-05-11 13:30:10,US67066G1040,NVDA,"Nvidia",0.0479017000,173.57,USD,0.04163,,200.00,EOF1906472198,0.30
Market buy,2022-05-11 13:30:11,US02079K1079,GOOG,"Alphabet (Class C)",0.0054699100,2280.00,USD,0.04163,,300.00,EOF1906472597,0.45
Market buy,2022-05-11 13:30:12,US0605051046,BAC,"Bank of America",0.2427640000,35.96,USD,0.04163,,209.99,EOF1906472700,0.31
Market buy,2022-05-11 13:30:12,US0090661010,ABNB,"Airbnb",0.0815830000,114.65,USD,0.04163,,225.00,EOF1906472817,0.34
Market buy,2022-05-11 13:32:04,US0378331005,AAPL,"Apple",0.0539539000,154.10,USD,0.04163,,200.00,EOF1906475526,0.30
Market buy,2022-05-16 11:31:42,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2854460000,73.74,USD,0.04216,,500.00,EOF1912274316,0.75
Market buy,2022-05-23 07:05:38,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.5920060000,72.66,USD,0.04307,,1000.00,EOF1920361675,1.50
Market buy,2022-05-25 14:43:22,US02079K1079,GOOG,"Alphabet (Class C)",0.0061260900,2119.67,USD,0.04325,,300.65,EOF1922989629,0.45
Market buy,2022-05-25 14:43:22,US5949181045,MSFT,"Microsoft",0.0166728000,259.59,USD,0.04325,,100.21,EOF1922989626,0.15
Market buy,2022-05-25 14:43:22,US0231351067,AMZN,"Amazon",0.0060501400,2146.28,USD,0.04325,,300.65,EOF1922989623,0.45
Market buy,2022-05-25 14:43:22,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1779050000,72.99,USD,0.04325,,300.65,EOF1922989620,0.45
Market buy,2022-05-27 15:27:47,US02079K1079,GOOG,"Alphabet (Class C)",0.0096539700,2242.30,USD,0.04335,,500.00,EOF1926032865,0.75
